Nodes,Repetition,System Time,Object at Room,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (MCTS-UCT),Traveled Distance (MCTS-UCT),Rooms Explored (ExpectedDistanceFixed),Traveled Distance (ExpectedDistanceFixed),Rooms Explored (ExpectedDistanceMurrieta),Traveled Distance (ExpectedDistanceMurrieta),Rooms Explored (ExpectedDistanceSimple),Traveled Distance (ExpectedDistanceSimple)
3,0,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,1,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,2,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,3,1414542308,1,299.392,2,141.811,3,299.392,3,299.392,2,141.811,3,299.392,2,141.811,2,141.811,2,141.811,3,299.392,3,299.392,3,299.392
3,4,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,5,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,6,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,7,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,8,1414542308,1,299.392,2,141.811,3,299.392,3,299.392,2,141.811,3,299.392,2,141.811,2,141.811,2,141.811,3,299.392,3,299.392,3,299.392
3,9,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,10,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,11,1414542308,1,299.392,2,141.811,3,299.392,3,299.392,2,141.811,3,299.392,2,141.811,2,141.811,2,141.811,3,299.392,3,299.392,3,299.392
3,12,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,13,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,14,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,15,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,16,1414542308,1,299.392,2,141.811,3,299.392,3,299.392,2,141.811,3,299.392,2,141.811,2,141.811,2,141.811,3,299.392,3,299.392,3,299.392
3,17,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,18,1414542308,1,299.392,2,141.811,3,299.392,3,299.392,2,141.811,3,299.392,2,141.811,2,141.811,2,141.811,3,299.392,3,299.392,3,299.392
3,19,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,20,1414542308,1,299.392,2,141.811,3,299.392,3,299.392,2,141.811,3,299.392,2,141.811,2,141.811,2,141.811,3,299.392,3,299.392,3,299.392
3,21,1414542308,1,299.392,2,141.811,3,299.392,3,299.392,2,141.811,3,299.392,2,141.811,2,141.811,2,141.811,3,299.392,3,299.392,3,299.392
3,22,1414542308,1,299.392,2,141.811,3,299.392,3,299.392,2,141.811,3,299.392,2,141.811,2,141.811,2,141.811,3,299.392,3,299.392,3,299.392
3,23,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,24,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,25,1414542308,1,299.392,2,141.811,3,299.392,3,299.392,2,141.811,3,299.392,2,141.811,2,141.811,2,141.811,3,299.392,3,299.392,3,299.392
3,26,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,27,1414542308,0,299.392,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,28,1414542308,1,299.392,2,141.811,3,299.392,3,299.392,2,141.811,3,299.392,2,141.811,2,141.811,2,141.811,3,299.392,3,299.392,3,299.392
3,29,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
3,30,1414542308,2,299.392,3,272.421,2,168.782,2,168.782,3,272.421,2,168.782,3,272.421,3,272.421,3,272.421,2,168.782,2,168.782,2,168.782
