Nodes,Repetition,System Time,Object at Room,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (MCTS-UCT),Traveled Distance (MCTS-UCT),Rooms Explored (ExpectedDistanceFixed),Traveled Distance (ExpectedDistanceFixed),Rooms Explored (ExpectedDistanceMurrieta),Traveled Distance (ExpectedDistanceMurrieta),Rooms Explored (ExpectedDistanceSimple),Traveled Distance (ExpectedDistanceSimple)
3,0,1414550761,1,402.174,3,354.233,2,255.049,3,354.233,2,255.049,2,255.049,3,354.233,3,354.233,3,354.233,3,354.233,3,354.233,3,354.233
3,1,1414550761,1,402.174,3,354.233,2,255.049,3,354.233,2,255.049,2,255.049,3,354.233,3,354.233,3,354.233,3,354.233,3,354.233,3,354.233
3,2,1414550761,1,402.174,3,354.233,2,255.049,3,354.233,2,255.049,2,255.049,3,354.233,3,354.233,3,354.233,3,354.233,3,354.233,3,354.233
3,3,1414550761,1,402.174,3,354.233,2,255.049,3,354.233,2,255.049,2,255.049,3,354.233,3,354.233,3,354.233,3,354.233,3,354.233,3,354.233
3,4,1414550761,1,402.174,3,354.233,2,255.049,3,354.233,2,255.049,2,255.049,3,354.233,3,354.233,3,354.233,3,354.233,3,354.233,3,354.233
3,5,1414550761,2,402.174,2,207.108,3,402.174,2,207.108,3,402.174,3,402.174,2,207.108,2,207.108,2,207.108,2,207.108,2,207.108,2,207.108
3,6,1414550761,2,402.174,2,207.108,3,402.174,2,207.108,3,402.174,3,402.174,2,207.108,2,207.108,2,207.108,2,207.108,2,207.108,2,207.108
3,7,1414550761,1,402.174,3,354.233,2,255.049,3,354.233,2,255.049,2,255.049,3,354.233,3,354.233,3,354.233,3,354.233,3,354.233,3,354.233
3,8,1414550761,2,402.174,2,207.108,3,402.174,2,207.108,3,402.174,3,402.174,2,207.108,2,207.108,2,207.108,2,207.108,2,207.108,2,207.108
3,9,1414550761,0,402.174,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,10,1414550761,1,402.174,3,354.233,2,255.049,3,354.233,2,255.049,2,255.049,3,354.233,3,354.233,3,354.233,3,354.233,3,354.233,3,354.233
