Nodes,Repetition,System Time,Object at Room,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
2,0,1413242186,1,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657
2,1,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,2,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,3,1413242186,1,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657
2,4,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,5,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,6,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,7,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,8,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,9,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,10,1413242186,1,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657
2,11,1413242186,1,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657
2,12,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,13,1413242186,1,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657
2,14,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,15,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,16,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,17,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,18,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,19,1413242186,1,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657
2,20,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,21,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,22,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,23,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,24,1413242186,1,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657
2,25,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,26,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,27,1413242186,1,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657
2,28,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,29,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,30,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,31,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,32,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,33,1413242186,1,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657
2,34,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,35,1413242186,1,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657
2,36,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,37,1413242186,1,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657
2,38,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,39,1413242186,1,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657
2,40,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,41,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,42,1413242186,1,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657
2,43,1413242186,1,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657,2,121.657
2,44,1413242186,0,121.657,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
