Nodes,Repetition,System Time,Object at Room,Starting At Node,Shortest Distance,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (MCTS-UCT),Traveled Distance (MCTS-UCT),Rooms Explored (ExpectedDistanceFixed),Traveled Distance (ExpectedDistanceFixed),Rooms Explored (ExpectedDistanceMurrieta),Traveled Distance (ExpectedDistanceMurrieta),Rooms Explored (ExpectedDistanceSimple),Traveled Distance (ExpectedDistanceSimple)
3,0,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,1,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,2,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,3,1418012110,1,0,967.769,1015.71,3,1456.63,2,1077.17,3,1456.63,2,1077.17,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63
3,4,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,5,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,6,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,7,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,8,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,9,1418012110,0,0,967.769,1015.71,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866
3,10,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,11,1418012110,0,0,967.769,1015.71,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866
3,12,1418012110,0,0,967.769,1015.71,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866
3,13,1418012110,0,0,967.769,1015.71,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866
3,14,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,15,1418012110,0,0,967.769,1015.71,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866
3,16,1418012110,1,0,967.769,1015.71,3,1456.63,2,1077.17,3,1456.63,2,1077.17,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63
3,17,1418012110,0,0,967.769,1015.71,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866
3,18,1418012110,0,0,967.769,1015.71,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866
3,19,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,20,1418012110,0,0,967.769,1015.71,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866,1,488.866
3,21,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,22,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,23,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,24,1418012110,1,0,967.769,1015.71,3,1456.63,2,1077.17,3,1456.63,2,1077.17,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63
3,25,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,26,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,27,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,28,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,29,1418012110,1,0,967.769,1015.71,3,1456.63,2,1077.17,3,1456.63,2,1077.17,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63
3,30,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,31,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,32,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,33,1418012110,1,0,967.769,1015.71,3,1456.63,2,1077.17,3,1456.63,2,1077.17,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63
3,34,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
3,35,1418012110,1,0,967.769,1015.71,3,1456.63,2,1077.17,3,1456.63,2,1077.17,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63
3,36,1418012110,1,0,967.769,1015.71,3,1456.63,2,1077.17,3,1456.63,2,1077.17,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63,3,1456.63
3,37,1418012110,2,0,967.769,1015.71,2,976.256,3,1504.58,2,976.256,3,1504.58,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256,2,976.256
