Nodes,Repetition,System Time,Object at Room,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
2,0,1412572017,0,102.071,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,1,1412572017,0,102.071,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,2,1412572017,1,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071
2,3,1412572017,0,102.071,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,4,1412572017,0,102.071,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,5,1412572017,0,102.071,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,6,1412572017,0,102.071,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,7,1412572017,0,102.071,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,8,1412572017,0,102.071,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,9,1412572017,1,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071
2,10,1412572017,1,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071
2,11,1412572017,0,102.071,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,12,1412572017,1,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071
2,13,1412572017,0,102.071,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,14,1412572017,0,102.071,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,15,1412572017,0,102.071,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,16,1412572017,0,102.071,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,17,1412572017,0,102.071,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,18,1412572017,1,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071,2,102.071
2,19,1412572017,0,102.071,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,20,1412572017,0,102.071,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,21,1412572017,0,102.071,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,22,1412572017,0,102.071,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
