Nodes,Repetition,System Time,Object at Room,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (ExpectedTimeFixed),Traveled Distance (ExpectedTimeFixed),Rooms Explored (ExpectedTimeVariable),Traveled Distance (ExpectedTimeVariable)
2,0,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,1,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,2,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,3,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,4,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,5,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,6,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,7,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,8,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,9,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,10,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,11,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,12,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,13,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,14,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,15,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,16,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,17,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,18,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,19,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,20,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,21,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,22,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,23,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,24,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,25,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,26,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,27,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,28,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,29,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,30,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,31,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,32,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,33,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,34,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,35,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,36,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,37,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,38,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,39,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,40,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,41,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,42,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,43,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,44,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,45,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,46,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,47,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,48,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,49,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,50,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,51,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,52,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,53,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,54,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,55,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,56,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,57,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,58,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,59,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,60,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,61,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,62,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,63,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,64,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,65,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,66,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,67,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,68,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,69,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,70,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,71,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,72,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,73,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,74,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,75,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,76,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,77,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,78,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,79,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,80,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,81,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,82,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,83,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,84,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,85,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,86,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,87,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,88,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,89,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,90,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
2,91,1412740548,0,10028.3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,92,1412740548,1,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3,2,10028.3
