Nodes,Repetition,System Time,Object at Room,Starting At Node,Shortest Distance,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (MCTS-UCT),Traveled Distance (MCTS-UCT),Rooms Explored (ExpectedDistanceFixed),Traveled Distance (ExpectedDistanceFixed),Rooms Explored (ExpectedDistanceMurrieta),Traveled Distance (ExpectedDistanceMurrieta),Rooms Explored (ExpectedDistanceSimple),Traveled Distance (ExpectedDistanceSimple)
3,0,1417650655,1,0,272.421,299.392,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035
3,1,1417650655,1,0,272.421,299.392,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035
3,2,1417650655,1,0,272.421,299.392,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035
3,3,1417650655,0,0,272.421,299.392,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697
3,4,1417650655,1,0,272.421,299.392,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035
3,5,1417650655,2,0,272.421,299.392,3,1620.79,2,1250.63,3,1620.79,2,1250.63,2,1250.63,3,1620.79,2,1250.63,3,1620.79,2,1250.63,2,1250.63,3,1620.79
3,6,1417650655,2,0,272.421,299.392,3,1620.79,2,1250.63,3,1620.79,2,1250.63,2,1250.63,3,1620.79,2,1250.63,3,1620.79,2,1250.63,2,1250.63,3,1620.79
3,7,1417650655,1,0,272.421,299.392,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035
3,8,1417650655,2,0,272.421,299.392,3,1620.79,2,1250.63,3,1620.79,2,1250.63,2,1250.63,3,1620.79,2,1250.63,3,1620.79,2,1250.63,2,1250.63,3,1620.79
3,9,1417650655,0,0,272.421,299.392,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697
3,10,1417650655,1,0,272.421,299.392,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035
3,11,1417650655,0,0,272.421,299.392,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697
3,12,1417650655,0,0,272.421,299.392,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697
3,13,1417650655,0,0,272.421,299.392,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697
3,14,1417650655,2,0,272.421,299.392,3,1620.79,2,1250.63,3,1620.79,2,1250.63,2,1250.63,3,1620.79,2,1250.63,3,1620.79,2,1250.63,2,1250.63,3,1620.79
3,15,1417650655,0,0,272.421,299.392,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697
3,16,1417650655,0,0,272.421,299.392,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697
3,17,1417650655,0,0,272.421,299.392,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697
3,18,1417650655,0,0,272.421,299.392,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697
3,19,1417650655,2,0,272.421,299.392,3,1620.79,2,1250.63,3,1620.79,2,1250.63,2,1250.63,3,1620.79,2,1250.63,3,1620.79,2,1250.63,2,1250.63,3,1620.79
3,20,1417650655,0,0,272.421,299.392,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697
3,21,1417650655,1,0,272.421,299.392,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035
3,22,1417650655,2,0,272.421,299.392,3,1620.79,2,1250.63,3,1620.79,2,1250.63,2,1250.63,3,1620.79,2,1250.63,3,1620.79,2,1250.63,2,1250.63,3,1620.79
3,23,1417650655,1,0,272.421,299.392,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035
3,24,1417650655,0,0,272.421,299.392,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697
3,25,1417650655,1,0,272.421,299.392,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035
3,26,1417650655,1,0,272.421,299.392,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035
3,27,1417650655,1,0,272.421,299.392,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035,3,1647.76,2,866.035,3,1647.76,3,1647.76,2,866.035
3,28,1417650655,2,0,272.421,299.392,3,1620.79,2,1250.63,3,1620.79,2,1250.63,2,1250.63,3,1620.79,2,1250.63,3,1620.79,2,1250.63,2,1250.63,3,1620.79
3,29,1417650655,0,0,272.421,299.392,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697,1,457.697
