Nodes,Repetition,System Time,Object at Room,Starting At Node,Shortest Distance,Worst Distance,Rooms Explored (Optimal),Traveled Distance (Optimal),Rooms Explored (Worst),Traveled Distance (Worst),Rooms Explored (OptimalExpected),Traveled Distance (OptimalExpected),Rooms Explored (WorstExpected),Traveled Distance (WorstExpected),Rooms Explored (MostProbable),Traveled Distance (MostProbable),Rooms Explored (Closest),Traveled Distance (Closest),Rooms Explored (Random),Traveled Distance (Random),Rooms Explored (MCTS-UCT),Traveled Distance (MCTS-UCT),Rooms Explored (ExpectedDistanceFixed),Traveled Distance (ExpectedDistanceFixed),Rooms Explored (ExpectedDistanceMurrieta),Traveled Distance (ExpectedDistanceMurrieta),Rooms Explored (ExpectedDistanceSimple),Traveled Distance (ExpectedDistanceSimple)
3,0,1417632054,1,0,384.468,386.953,2,956.144,3,1790.08,2,956.144,3,1790.08,2,956.144,2,956.144,3,1790.08,2,956.144,2,956.144,2,956.144,2,956.144
3,1,1417632054,1,0,384.468,386.953,2,956.144,3,1790.08,2,956.144,3,1790.08,2,956.144,2,956.144,3,1790.08,2,956.144,2,956.144,2,956.144,2,956.144
3,2,1417632054,1,0,384.468,386.953,2,956.144,3,1790.08,2,956.144,3,1790.08,2,956.144,2,956.144,3,1790.08,2,956.144,2,956.144,2,956.144,2,956.144
3,3,1417632054,1,0,384.468,386.953,2,956.144,3,1790.08,2,956.144,3,1790.08,2,956.144,2,956.144,3,1790.08,2,956.144,2,956.144,2,956.144,2,956.144
3,4,1417632054,1,0,384.468,386.953,2,956.144,3,1790.08,2,956.144,3,1790.08,2,956.144,2,956.144,3,1790.08,2,956.144,2,956.144,2,956.144,2,956.144
3,5,1417632054,2,0,384.468,386.953,3,1787.6,2,1164.7,3,1787.6,2,1164.7,3,1787.6,3,1787.6,2,1164.7,3,1787.6,3,1787.6,3,1787.6,3,1787.6
3,6,1417632054,2,0,384.468,386.953,3,1787.6,2,1164.7,3,1787.6,2,1164.7,3,1787.6,3,1787.6,2,1164.7,3,1787.6,3,1787.6,3,1787.6,3,1787.6
3,7,1417632054,1,0,384.468,386.953,2,956.144,3,1790.08,2,956.144,3,1790.08,2,956.144,2,956.144,3,1790.08,2,956.144,2,956.144,2,956.144,2,956.144
3,8,1417632054,1,0,384.468,386.953,2,956.144,3,1790.08,2,956.144,3,1790.08,2,956.144,2,956.144,3,1790.08,2,956.144,2,956.144,2,956.144,2,956.144
3,9,1417632054,0,0,384.468,386.953,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147
3,10,1417632054,1,0,384.468,386.953,2,956.144,3,1790.08,2,956.144,3,1790.08,2,956.144,2,956.144,3,1790.08,2,956.144,2,956.144,2,956.144,2,956.144
3,11,1417632054,0,0,384.468,386.953,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147
3,12,1417632054,1,0,384.468,386.953,2,956.144,3,1790.08,2,956.144,3,1790.08,2,956.144,2,956.144,3,1790.08,2,956.144,2,956.144,2,956.144,2,956.144
3,13,1417632054,0,0,384.468,386.953,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147
3,14,1417632054,2,0,384.468,386.953,3,1787.6,2,1164.7,3,1787.6,2,1164.7,3,1787.6,3,1787.6,2,1164.7,3,1787.6,3,1787.6,3,1787.6,3,1787.6
3,15,1417632054,0,0,384.468,386.953,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147
3,16,1417632054,1,0,384.468,386.953,2,956.144,3,1790.08,2,956.144,3,1790.08,2,956.144,2,956.144,3,1790.08,2,956.144,2,956.144,2,956.144,2,956.144
3,17,1417632054,0,0,384.468,386.953,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147
3,18,1417632054,0,0,384.468,386.953,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147,1,457.147
3,19,1417632054,2,0,384.468,386.953,3,1787.6,2,1164.7,3,1787.6,2,1164.7,3,1787.6,3,1787.6,2,1164.7,3,1787.6,3,1787.6,3,1787.6,3,1787.6
3,20,1417632054,1,0,384.468,386.953,2,956.144,3,1790.08,2,956.144,3,1790.08,2,956.144,2,956.144,3,1790.08,2,956.144,2,956.144,2,956.144,2,956.144
3,21,1417632054,1,0,384.468,386.953,2,956.144,3,1790.08,2,956.144,3,1790.08,2,956.144,2,956.144,3,1790.08,2,956.144,2,956.144,2,956.144,2,956.144
3,22,1417632054,2,0,384.468,386.953,3,1787.6,2,1164.7,3,1787.6,2,1164.7,3,1787.6,3,1787.6,2,1164.7,3,1787.6,3,1787.6,3,1787.6,3,1787.6
3,23,1417632054,1,0,384.468,386.953,2,956.144,3,1790.08,2,956.144,3,1790.08,2,956.144,2,956.144,3,1790.08,2,956.144,2,956.144,2,956.144,2,956.144
3,24,1417632054,1,0,384.468,386.953,2,956.144,3,1790.08,2,956.144,3,1790.08,2,956.144,2,956.144,3,1790.08,2,956.144,2,956.144,2,956.144,2,956.144
3,25,1417632054,1,0,384.468,386.953,2,956.144,3,1790.08,2,956.144,3,1790.08,2,956.144,2,956.144,3,1790.08,2,956.144,2,956.144,2,956.144,2,956.144
3,26,1417632054,1,0,384.468,386.953,2,956.144,3,1790.08,2,956.144,3,1790.08,2,956.144,2,956.144,3,1790.08,2,956.144,2,956.144,2,956.144,2,956.144
3,27,1417632054,1,0,384.468,386.953,2,956.144,3,1790.08,2,956.144,3,1790.08,2,956.144,2,956.144,3,1790.08,2,956.144,2,956.144,2,956.144,2,956.144
3,28,1417632054,2,0,384.468,386.953,3,1787.6,2,1164.7,3,1787.6,2,1164.7,3,1787.6,3,1787.6,2,1164.7,3,1787.6,3,1787.6,3,1787.6,3,1787.6
3,29,1417632054,1,0,384.468,386.953,2,956.144,3,1790.08,2,956.144,3,1790.08,2,956.144,2,956.144,3,1790.08,2,956.144,2,956.144,2,956.144,2,956.144
